date,r_ytd,sd_ytd,r_3m,sd_3m,r_6m,sd_6m,r_1y,sd_1y,r_2y,sd_2y,r_3y,sd_3y,r_4y,sd_4y,r_5y,sd_5y
2020-05-06,,,,,,,,,,,,,,,,
2020-05-05,,,,,,,,,,,,,,,,
2020-05-04,,,,,,,,,,,,,,,,
2020-05-01,,,,,,,,,,,,,,,,
2020-04-30,,,,,,,,,,,,,,,,
2020-04-29,,,,,,,,,,,,,,,,
2020-04-28,,,,,,,,,,,,,,,,
2020-04-27,,,,,,,,,,,,,,,,
2020-04-24,,,,,,,,,,,,,,,,
2020-04-23,,,,,,,,,,,,,,,,
2020-04-22,,,,,,,,,,,,,,,,
2020-04-21,,,,,,,,,,,,,,,,
2020-04-20,,,,,,,,,,,,,,,,
2020-04-17,,,,,,,,,,,,,,,,
2020-04-16,,,,,,,,,,,,,,,,
2020-04-15,,,,,,,,,,,,,,,,
2020-04-14,,,,,,,,,,,,,,,,
2020-04-13,,,,,,,,,,,,,,,,
2020-04-10,,,,,,,,,,,,,,,,
2020-04-09,,,,,,,,,,,,,,,,
2020-04-08,,,,,,,,,,,,,,,,
2020-04-07,,,,,,,,,,,,,,,,
2020-04-06,,,,,,,,,,,,,,,,
2020-04-03,,,,,,,,,,,,,,,,
2020-04-02,,,,,,,,,,,,,,,,
2020-04-01,,,,,,,,,,,,,,,,
2020-03-31,,,,,,,,,,,,,,,,
2020-03-30,,,,,,,,,,,,,,,,
2020-03-27,,,,,,,,,,,,,,,,
2020-03-26,,,,,,,,,,,,,,,,
2020-03-25,,,,,,,,,,,,,,,,
2020-03-24,,,,,,,,,,,,,,,,
2020-03-23,,,,,,,,,,,,,,,,
2020-03-20,,,,,,,,,,,,,,,,
2020-03-19,,,,,,,,,,,,,,,,
2020-03-18,,,,,,,,,,,,,,,,
2020-03-17,,,,,,,,,,,,,,,,
2020-03-16,,,,,,,,,,,,,,,,
2020-03-13,,,,,,,,,,,,,,,,
2020-03-12,,,,,,,,,,,,,,,,
2020-03-11,,,,,,,,,,,,,,,,
2020-03-10,,,,,,,,,,,,,,,,
2020-03-09,,,,,,,,,,,,,,,,
2020-03-06,,,,,,,,,,,,,,,,
2020-03-05,,,,,,,,,,,,,,,,
2020-03-04,,,,,,,,,,,,,,,,
2020-03-03,,,,,,,,,,,,,,,,
2020-03-02,,,,,,,,,,,,,,,,
2020-02-28,,,,,,,,,,,,,,,,
2020-02-27,,,,,,,,,,,,,,,,
2020-02-26,,,,,,,,,,,,,,,,
2020-02-25,,,,,,,,,,,,,,,,
2020-02-24,,,,,,,,,,,,,,,,
2020-02-21,,,,,,,,,,,,,,,,
2020-02-20,,,,,,,,,,,,,,,,
2020-02-19,,,,,,,,,,,,,,,,
2020-02-18,,,,,,,,,,,,,,,,
2020-02-17,,,,,,,,,,,,,,,,
2020-02-14,,,,,,,,,,,,,,,,
2020-02-13,,,,,,,,,,,,,,,,
2020-02-12,,,,,,,,,,,,,,,,
2020-02-11,,,,,,,,,,,,,,,,
2020-02-10,,,,,,,,,,,,,,,,
2020-02-07,,,,,,,,,,,,,,,,
2020-02-06,,,,,,,,,,,,,,,,
2020-02-05,,,,,,,,,,,,,,,,
2020-02-04,,,,,,,,,,,,,,,,
2020-02-03,,,,,,,,,,,,,,,,
2020-01-31,,,,,,,,,,,,,,,,
2020-01-30,,,,,,,,,,,,,,,,
2020-01-29,,,,,,,,,,,,,,,,
2020-01-28,,,,,,,,,,,,,,,,
2020-01-27,,,,,,,,,,,,,,,,
2020-01-24,,,,,,,,,,,,,,,,
2020-01-23,,,,,,,,,,,,,,,,
2020-01-22,,,,,,,,,,,,,,,,
2020-01-21,,,,,,,,,,,,,,,,
2020-01-20,,,,,,,,,,,,,,,,
2020-01-17,,,,,,,,,,,,,,,,
2020-01-16,,,,,,,,,,,,,,,,
2020-01-15,,,,,,,,,,,,,,,,
2020-01-14,,,,,,,,,,,,,,,,
2020-01-13,,,,,,,,,,,,,,,,
2020-01-10,,,,,,,,,,,,,,,,
2020-01-09,,,,,,,,,,,,,,,,
2020-01-08,,,,,,,,,,,,,,,,
2020-01-07,,,,,,,,,,,,,,,,
2020-01-06,,,,,,,,,,,,,,,,
2020-01-03,,,,,,,,,,,,,,,,
2020-01-02,,,,,,,,,,,,,,,,
2020-01-01,,,,,,,,,,,,,,,,
2019-12-31,0.5510813859152641,1.2054821776885878,,,,,,,,,,,,,,
2019-12-30,0.5510813859152641,1.2054821776885878,,,,,,,,,,,,,,
2019-12-27,0.5510813859152641,1.2054821776885878,,,,,,,,,,,,,,
2019-12-26,0.5510813859152641,1.2054821776885878,,,,,,,,,,,,,,
2019-12-25,0.5510813859152641,1.2054821776885878,,,,,,,,,,,,,,
2019-12-24,0.5510813859152641,1.2054821776885878,,,,,,,,,,,,,,
