date,r_ytd,sd_ytd,r_3m,sd_3m,r_6m,sd_6m,r_1y,sd_1y,r_2y,sd_2y,r_3y,sd_3y,r_4y,sd_4y,r_5y,sd_5y
2019-12-16,,,,,,,,,,,,,,,,
2019-12-13,,,,,,,,,,,,,,,,
2019-12-12,,,,,,,,,,,,,,,,
2019-12-11,,,,,,,,,,,,,,,,
2019-12-10,,,,,,,,,,,,,,,,
2019-12-09,,,,,,,,,,,,,,,,
2019-12-06,,,,,,,,,,,,,,,,
2019-12-05,,,,,,,,,,,,,,,,
2019-12-04,,,,,,,,,,,,,,,,
2019-12-03,,,,,,,,,,,,,,,,
2019-12-02,,,,,,,,,,,,,,,,
2019-11-29,,,,,,,,,,,,,,,,
2019-11-28,,,,,,,,,,,,,,,,
2019-11-27,,,,,,,,,,,,,,,,
2019-11-26,,,,,,,,,,,,,,,,
2019-11-25,,,,,,,,,,,,,,,,
2019-11-22,,,,,,,,,,,,,,,,
2019-11-21,,,,,,,,,,,,,,,,
2019-11-20,,,,,,,,,,,,,,,,
2019-11-19,,,,,,,,,,,,,,,,
2019-11-18,,,,,,,,,,,,,,,,
2019-11-15,,,,,,,,,,,,,,,,
2019-11-14,,,,,,,,,,,,,,,,
2019-11-13,,,,,,,,,,,,,,,,
2019-11-12,,,,,,,,,,,,,,,,
2019-11-11,,,,,,,,,,,,,,,,
2019-11-08,,,,,,,,,,,,,,,,
2019-11-07,,,,,,,,,,,,,,,,
2019-11-06,,,,,,,,,,,,,,,,
2019-11-05,,,,,,,,,,,,,,,,
2019-11-04,,,,,,,,,,,,,,,,
2019-11-01,,,,,,,,,,,,,,,,
2019-10-31,,,,,,,,,,,,,,,,
2019-10-30,,,,,,,,,,,,,,,,
2019-10-29,,,,,,,,,,,,,,,,
2019-10-28,,,,,,,,,,,,,,,,
2019-10-25,,,,,,,,,,,,,,,,
2019-10-24,,,,,,,,,,,,,,,,
2019-10-23,,,,,,,,,,,,,,,,
2019-10-22,,,,,,,,,,,,,,,,
2019-10-21,,,,,,,,,,,,,,,,
2019-10-18,,,,,,,,,,,,,,,,
2019-10-17,,,,,,,,,,,,,,,,
2019-10-16,,,,,,,,,,,,,,,,
2019-10-15,,,,,,,,,,,,,,,,
2019-10-14,,,,,,,,,,,,,,,,
2019-10-11,,,,,,,,,,,,,,,,
2019-10-10,,,,,,,,,,,,,,,,
2019-10-09,,,,,,,,,,,,,,,,
2019-10-08,,,,,,,,,,,,,,,,
2019-10-07,,,,,,,,,,,,,,,,
2019-10-04,,,,,,,,,,,,,,,,
2019-10-03,,,,,,,,,,,,,,,,
2019-10-02,,,,,,,,,,,,,,,,
2019-10-01,,,,,,,,,,,,,,,,
2019-09-30,,,,,,,,,,,,,,,,
2019-09-27,,,,,,,,,,,,,,,,
2019-09-26,,,,,,,,,,,,,,,,
2019-09-25,,,,,,,,,,,,,,,,
2019-09-24,,,,,,,,,,,,,,,,
2019-09-23,,,,,,,,,,,,,,,,
2019-09-20,,,,,,,,,,,,,,,,
2019-09-19,,,,,,,,,,,,,,,,
2019-09-18,,,,,,,,,,,,,,,,
2019-09-17,,,,,,,,,,,,,,,,
2019-09-16,,,,,,,,,,,,,,,,
2019-09-13,,,,,,,,,,,,,,,,
2019-09-12,,,,,,,,,,,,,,,,
2019-09-11,,,,,,,,,,,,,,,,
2019-09-10,,,,,,,,,,,,,,,,
2019-09-09,,,,,,,,,,,,,,,,
2019-09-06,,,,,,,,,,,,,,,,
2019-09-05,,,,,,,,,,,,,,,,
2019-09-04,,,,,,,,,,,,,,,,
2019-09-03,,,,,,,,,,,,,,,,
2019-09-02,,,,,,,,,,,,,,,,
2019-08-30,,,,,,,,,,,,,,,,
2019-08-29,,,,,,,,,,,,,,,,
2019-08-28,,,,,,,,,,,,,,,,
2019-08-27,,,,,,,,,,,,,,,,
2019-08-26,,,,,,,,,,,,,,,,
2019-08-23,,,,,,,,,,,,,,,,
2019-08-22,,,,,,,,,,,,,,,,
2019-08-21,,,,,,,,,,,,,,,,
2019-08-20,,,,,,,,,,,,,,,,
2019-08-19,,,,,,,,,,,,,,,,
2019-08-16,,,,,,,,,,,,,,,,
2019-08-15,,,,,,,,,,,,,,,,
2019-08-14,,,,,,,,,,,,,,,,
2019-08-13,,,,,,,,,,,,,,,,
2019-08-12,,,,,,,,,,,,,,,,
2019-08-09,,,,,,,,,,,,,,,,
2019-08-08,,,,,,,,,,,,,,,,
2019-08-07,,,,,,,,,,,,,,,,
2019-08-06,,,,,,,,,,,,,,,,
2019-08-05,,,,,,,,,,,,,,,,
2019-08-02,,,,,,,,,,,,,,,,
2019-08-01,,,,,,,,,,,,,,,,
2019-07-31,,,,,,,,,,,,,,,,
2019-07-30,,,,,,,,,,,,,,,,
2019-07-29,,,,,,,,,,,,,,,,
2019-07-26,,,,,,,,,,,,,,,,
2019-07-25,,,,,,,,,,,,,,,,
2019-07-24,,,,,,,,,,,,,,,,
2019-07-23,,,,,,,,,,,,,,,,
2019-07-22,,,,,,,,,,,,,,,,
2019-07-19,,,,,,,,,,,,,,,,
2019-07-18,,,,,,,,,,,,,,,,
2019-07-17,,,,,,,,,,,,,,,,
2019-07-16,,,,,,,,,,,,,,,,
2019-07-15,,,,,,,,,,,,,,,,
2019-07-12,,,,,,,,,,,,,,,,
2019-07-11,,,,,,,,,,,,,,,,
2019-07-10,,,,,,,,,,,,,,,,
2019-07-09,,,,,,,,,,,,,,,,
2019-07-08,,,,,,,,,,,,,,,,
2019-07-05,,,,,,,,,,,,,,,,
2019-07-04,,,,,,,,,,,,,,,,
2019-07-03,,,,,,,,,,,,,,,,
2019-07-02,,,,,,,,,,,,,,,,
2019-07-01,,,,,,,,,,,,,,,,
2019-06-28,,,,,,,,,,,,,,,,
2019-06-27,,,,,,,,,,,,,,,,
2019-06-26,,,,,,,,,,,,,,,,
2019-06-25,,,,,,,,,,,,,,,,
2019-06-24,,,,,,,,,,,,,,,,
2019-06-21,,,,,,,,,,,,,,,,
2019-06-20,,,,,,,,,,,,,,,,
2019-06-19,,,,,,,,,,,,,,,,
2019-06-18,,,,,,,,,,,,,,,,
2019-06-17,,,,,,,,,,,,,,,,
2019-06-14,,,,,,,,,,,,,,,,
2019-06-13,,,,,,,,,,,,,,,,
2019-06-12,,,,,,,,,,,,,,,,
2019-06-11,,,,,,,,,,,,,,,,
2019-06-10,,,,,,,,,,,,,,,,
2019-06-07,,,,,,,,,,,,,,,,
2019-06-06,,,,,,,,,,,,,,,,
2019-06-05,,,,,,,,,,,,,,,,
2019-06-04,,,,,,,,,,,,,,,,
2019-06-03,,,,,,,,,,,,,,,,
2019-05-31,,,,,,,,,,,,,,,,
2019-05-30,,,,,,,,,,,,,,,,
2019-05-29,,,,,,,,,,,,,,,,
2019-05-28,,,,,,,,,,,,,,,,
2019-05-27,,,,,,,,,,,,,,,,
2019-05-24,,,,,,,,,,,,,,,,
2019-05-23,,,,,,,,,,,,,,,,
2019-05-22,,,,,,,,,,,,,,,,
2019-05-21,,,,,,,,,,,,,,,,
2019-05-20,,,,,,,,,,,,,,,,
2019-05-17,,,,,,,,,,,,,,,,
2019-05-16,,,,,,,,,,,,,,,,
2019-05-15,,,,,,,,,,,,,,,,
2019-05-14,,,,,,,,,,,,,,,,
2019-05-13,,,,,,,,,,,,,,,,
2019-05-10,,,,,,,,,,,,,,,,
2019-05-09,,,,,,,,,,,,,,,,
2019-05-08,,,,,,,,,,,,,,,,
2019-05-07,,,,,,,,,,,,,,,,
2019-05-06,,,,,,,,,,,,,,,,
2019-05-03,,,,,,,,,,,,,,,,
2019-05-02,,,,,,,,,,,,,,,,
2019-05-01,,,,,,,,,,,,,,,,
2019-04-30,,,,,,,,,,,,,,,,
2019-04-29,,,,,,,,,,,,,,,,
2019-04-26,,,,,,,,,,,,,,,,
2019-04-25,,,,,,,,,,,,,,,,
2019-04-24,,,,,,,,,,,,,,,,
2019-04-23,,,,,,,,,,,,,,,,
2019-04-22,,,,,,,,,,,,,,,,
2019-04-19,,,,,,,,,,,,,,,,
2019-04-18,,,,,,,,,,,,,,,,
2019-04-17,,,,,,,,,,,,,,,,
2019-04-16,,,,,,,,,,,,,,,,
2019-04-15,,,,,,,,,,,,,,,,
2019-04-12,,,,,,,,,,,,,,,,
2019-04-11,,,,,,,,,,,,,,,,
2019-04-10,,,,,,,,,,,,,,,,
2019-04-09,,,,,,,,,,,,,,,,
2019-04-08,,,,,,,,,,,,,,,,
2019-04-05,,,,,,,,,,,,,,,,
2019-04-04,,,,,,,,,,,,,,,,
2019-04-03,,,,,,,,,,,,,,,,
2019-04-02,,,,,,,,,,,,,,,,
2019-04-01,,,,,,,,,,,,,,,,
2019-03-29,,,,,,,,,,,,,,,,
2019-03-28,,,,,,,,,,,,,,,,
2019-03-27,,,,,,,,,,,,,,,,
2019-03-26,,,,,,,,,,,,,,,,
2019-03-25,,,,,,,,,,,,,,,,
2019-03-22,,,,,,,,,,,,,,,,
2019-03-21,,,,,,,,,,,,,,,,
2019-03-20,,,,,,,,,,,,,,,,
2019-03-19,,,,,,,,,,,,,,,,
2019-03-18,,,,,,,,,,,,,,,,
2019-03-15,,,,,,,,,,,,,,,,
2019-03-14,,,,,,,,,,,,,,,,
2019-03-13,,,,,,,,,,,,,,,,
2019-03-12,,,,,,,,,,,,,,,,
2019-03-11,,,,,,,,,,,,,,,,
2019-03-08,,,,,,,,,,,,,,,,
2019-03-07,,,,,,,,,,,,,,,,
2019-03-06,,,,,,,,,,,,,,,,
2019-03-05,,,,,,,,,,,,,,,,
2019-03-04,,,,,,,,,,,,,,,,
2019-03-01,,,,,,,,,,,,,,,,
2019-02-28,,,,,,,,,,,,,,,,
2019-02-27,,,,,,,,,,,,,,,,
2019-02-26,,,,,,,,,,,,,,,,
2019-02-25,,,,,,,,,,,,,,,,
2019-02-22,,,,,,,,,,,,,,,,
2019-02-21,,,,,,,,,,,,,,,,
2019-02-20,,,,,,,,,,,,,,,,
2019-02-19,,,,,,,,,,,,,,,,
2019-02-18,,,,,,,,,,,,,,,,
2019-02-15,,,,,,,,,,,,,,,,
2019-02-14,,,,,,,,,,,,,,,,
2019-02-13,,,,,,,,,,,,,,,,
2019-02-12,,,,,,,,,,,,,,,,
2019-02-11,,,,,,,,,,,,,,,,
2019-02-08,,,,,,,,,,,,,,,,
2019-02-07,,,,,,,,,,,,,,,,
2019-02-06,,,,,,,,,,,,,,,,
2019-02-05,,,,,,,,,,,,,,,,
2019-02-04,,,,,,,,,,,,,,,,
2019-02-01,,,,,,,,,,,,,,,,
2019-01-31,,,,,,,,,,,,,,,,
2019-01-30,,,,,,,,,,,,,,,,
2019-01-29,,,,,,,,,,,,,,,,
2019-01-28,,,,,,,,,,,,,,,,
2019-01-25,,,,,,,,,,,,,,,,
2019-01-24,,,,,,,,,,,,,,,,
2019-01-23,,,,,,,,,,,,,,,,
2019-01-22,,,,,,,,,,,,,,,,
2019-01-21,,,,,,,,,,,,,,,,
2019-01-18,,,,,,,,,,,,,,,,
2019-01-17,,,,,,,,,,,,,,,,
2019-01-16,,,,,,,,,,,,,,,,
2019-01-15,,,,,,,,,,,,,,,,
2019-01-14,,,,,,,,,,,,,,,,
2019-01-11,,,,,,,,,,,,,,,,
2019-01-10,,,,,,,,,,,,,,,,
2019-01-09,,,,,,,,,,,,,,,,
2019-01-08,,,,,,,,,,,,,,,,
2019-01-07,,,,,,,,,,,,,,,,
2019-01-04,,,,,,,,,,,,,,,,
2019-01-03,,,,,,,,,,,,,,,,
2019-01-02,,,,,,,,,,,,,,,,
2019-01-01,,,,,,,,,,,,,,,,
2018-12-31,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-12-28,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-12-27,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-12-26,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-12-25,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-12-24,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-12-21,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-12-20,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-12-19,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-12-18,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-12-17,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-12-14,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-12-13,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-12-12,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-12-11,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-12-10,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-12-07,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-12-06,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-12-05,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-12-04,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-12-03,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-11-30,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-11-29,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-11-28,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-11-27,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-11-26,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-11-23,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-11-22,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-11-21,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-11-20,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-11-19,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-11-16,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-11-15,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-11-14,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-11-13,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-11-12,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-11-09,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-11-08,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-11-07,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-11-06,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-11-05,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-11-02,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-11-01,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-31,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-30,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-29,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-26,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-25,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-24,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-23,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-22,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-19,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-18,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-17,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-16,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-15,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-12,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-11,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-10,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-09,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-08,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-05,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-04,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-03,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-02,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-10-01,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-09-28,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-09-27,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-09-26,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-09-25,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-09-24,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-09-21,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-09-20,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-09-19,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-09-18,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-09-17,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-09-14,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-09-13,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-09-12,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-09-11,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-09-10,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-09-07,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-09-06,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-09-05,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-09-04,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-09-03,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-31,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-30,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-29,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-28,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-27,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-24,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-23,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-22,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-21,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-20,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-17,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-16,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-15,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-14,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-13,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-10,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-09,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-08,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-07,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-06,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-03,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-02,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-08-01,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-07-31,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-07-30,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-07-27,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-07-26,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-07-25,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-07-24,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-07-23,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-07-20,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-07-19,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-07-18,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-07-17,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-07-16,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-07-13,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-07-12,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-07-11,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-07-10,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-07-09,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-07-06,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-07-05,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-07-04,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-07-03,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-07-02,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-06-29,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-06-28,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-06-27,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-06-26,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-06-25,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-06-22,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-06-21,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-06-20,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-06-19,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-06-18,0.220029669159,0.667850592561,,,,,,,,,,,,,,
2018-06-15,0.220029669159,0.667850592561,,,0.252967891005,0.633257405658,,,,,,,,,,
2018-06-14,0.220029669159,0.667850592561,,,0.232004699838,0.631003289229,,,,,,,,,,
2018-06-13,0.220029669159,0.667850592561,,,0.23799328839,0.627626814281,,,,,,,,,,
2018-06-12,0.220029669159,0.667850592561,,,0.24298432551899998,0.624291740955,,,,,,,,,,
2018-06-11,0.220029669159,0.667850592561,,,0.26195480034699997,0.621556462552,,,,,,,,,,
2018-06-08,0.220029669159,0.667850592561,,,0.26195480034699997,0.621556462552,,,,,,,,,,
2018-06-07,0.220029669159,0.667850592561,,,0.266948223997,0.618320973982,,,,,,,,,,
2018-06-06,0.220029669159,0.667850592561,,,0.271942145056,0.615135493264,,,,,,,,,,
2018-06-05,0.220029669159,0.667850592561,,,0.281931479692,0.612094597888,,,,,,,,,,
2018-06-04,0.220029669159,0.667850592561,,,0.281931479692,0.612094597888,,,,,,,,,,
2018-06-01,0.220029669159,0.667850592561,,,0.29591989239300004,0.609246761159,,,,,,,,,,
2018-05-31,0.220029669159,0.667850592561,,,0.30091669988,0.606200957008,,,,,,,,,,
2018-05-30,0.220029669159,0.667850592561,,,0.30091669988,0.606200957008,,,,,,,,,,
2018-05-29,0.220029669159,0.667850592561,,,0.45005039366899996,0.644863006433,,,,,,,,,,
2018-05-28,0.220029669159,0.667850592561,,,0.455062571104,0.641694669263,,,,,,,,,,
2018-05-25,0.220029669159,0.667850592561,,,0.474113407927,0.6357021306139999,,,,,,,,,,
